Address,Name,Definition
0000,Humanity Index,"Measures the authenticity and credibility of a user's identity, indicating whether the user is a real human rather than a robot or fake identity."
0001,Physical Fitness Score,"Measures the overall physical health level of a user, based on exercise and physiological data."
0002,Click Speed,"Measures the user's reaction speed and hand-eye coordination."
0003,Earth Coordinates,"Records the user's permanent geographical location."
0004,Body Mass Index (BMI),"Measures the ratio of weight to height, reflecting body composition."
0005,Visual Acuity,"Measures the level of visual acuity, related to physical perception."
0006,Hearing Ability,"Measures the level of hearing, related to physical perception."
0007,Sleep Patterns,"Records sleep time and patterns, related to physical recovery."
0008,Dietary Habits,"Records dietary preferences and habits, related to physical nutrition."
0009,Heart Rate Variability,"Measures cardiac health and stress levels."
000A,Physical Reaction Time,"Measures the body's reaction speed to stimuli, related to coordination."
000B,Blood Pressure,"Records systolic and diastolic blood pressure, reflecting cardiovascular health."
000C,Glucose Level,"Records fasting blood glucose levels, related to metabolic health."
000D,Cholesterol Level,"Records total cholesterol levels, related to cardiovascular health."
000E,Immune System Strength,"Measures the strength of the immune system, related to physical resistance."
000F,Skin Health,"Records the health of the skin, related to appearance and overall health."
0010,Physical Endurance,"Measures the user's endurance in physical activities, reflecting the ability to sustain exercise."
0011,Flexibility,"Measures the flexibility of joints and muscles, related to physical agility."
0012,Strength Level,"Measures the user's muscle strength, reflecting physical performance."
0013,Coordination,"Measures the user's physical coordination, related to athletic performance."
0014,Balance,"Measures the user's ability to maintain balance, related to stability."
0015,Agility,"Measures the user's quick reaction and movement ability, related to physical flexibility."
0016,Stamina,"Measures the user's ability to sustain physical activity over long periods, reflecting endurance."
0017,Oxygen Saturation,"Records the level of oxygen in the blood, related to respiratory health."
0018,Body Temperature,"Records the user's body temperature, reflecting overall health status."
0019,Pain Tolerance,"Measures the user's tolerance to pain, related to physical resilience."
001A,Injury History,"Records the user's past injury history, reflecting overall health status."
001B,Recovery Rate,"Measures the speed at which the user recovers from physical fatigue or illness, related to recovery ability."
001C,Metabolic Rate,"Measures the user's basal metabolic rate, related to energy expenditure and health."
001D,Hydration Level,"Records the user's hydration levels, related to health and physical performance."
001E,Bone Density,"Measures the strength of the user's bones, related to skeletal health."
001F,Muscle Mass,"Records the user's muscle mass, reflecting body composition and strength."
0020,Fat Percentage,"Measures the user's body fat percentage, related to body composition and health."
0021,Cardiovascular Health,"Measures the overall health of the cardiovascular system, based on heart rate and blood pressure data."
0022,Respiratory Health,"Measures the health of the respiratory system, based on lung function and oxygen intake data."
0023,Neurological Health,"Measures the health of the nervous system, based on reaction speed and coordination data."
0024,Digestive Health,"Measures the health of the digestive system, based on dietary and excretory data."
0025,Liver Function,"Records health indicators of liver function, related to metabolism and toxin processing."
0026,Kidney Function,"Records health indicators of kidney function, related to excretion and fluid balance."
0027,Hormonal Balance,"Measures the balance of hormone levels, related to bodily regulation."
0028,Vision Health,"Measures the overall health of the visual system, based on vision and other visual data."
0029,Hearing Health,"Measures the overall health of the auditory system, based on hearing test data."
002A,Sensory Sensitivity,"Measures the sensitivity of the senses to stimuli, related to perceptual ability."
002B,Physical Sensitivity,"Measures the sensitivity of the body to environmental factors or injury, related to health."
002C,Pain Sensitivity,"Measures the user's sensitivity to pain, related to neurological health."
002D,Temperature Sensitivity,"Measures the user's sensitivity to temperature, related to bodily regulation."
002E,Light Sensitivity,"Measures the user's sensitivity to light, related to visual health."
002F,Sound Sensitivity,"Measures the user's sensitivity to sound, related to auditory health."
0030,Touch Sensitivity,"Measures the user's sensitivity to touch, related to neurological health."
0031,Smell Sensitivity,"Measures the user's sensitivity to odors, related to olfactory health."
0032,Taste Sensitivity,"Measures the user's sensitivity to taste, related to gustatory health."
0033,Physical Activity Level,"Measures the frequency of the user's daily physical activity, related to health and fitness."
0034,Exercise Frequency,"Records the frequency of the user's exercise participation, related to physical health."
0035,Sport Participation,"Measures the user's involvement in specific sports, reflecting interest and skill."
0036,Fitness Goals,"Records the clarity and progress of the user's fitness goals, related to health."
0037,Health Awareness,"Measures the user's attention to their own health, reflecting health management ability."
0038,Nutrition Awareness,"Measures the user's knowledge of nutrition, related to dietary health."
0039,Wellness Practices,"Records the frequency of the user's participation in wellness practices (e.g., yoga), related to overall health."
003A,Physical Limitations,"Records the user's physical limitations or disabilities, reflecting health status."
003B,Mobility,"Measures the user's ability to move, related to physical function."
003C,Posture,"Records the user's standing or sitting posture health, related to physical structure."
003D,Joint Health,"Measures the health of the user's joints, related to flexibility and durability."
003E,Tendon Health,"Measures the health of the user's tendons, related to physical movement ability."
003F,DIY Skills,"Measures the user's ability to engage in DIY activities, reflecting practical skills."
0040,Social Frequency,"Measures the frequency of user interactions on social platforms, reflecting the level of social activity."
0041,Social Media Influencer,"Measures the user's influence on social media, based on follower count, engagement rate, and content virality."
0042,Relationship Network,"Measures the breadth and depth of social relationships, reflecting the size and quality of the user's social network."
0043,Family Bonding,"Measures the closeness of relationships with family members, reflecting the strength of family interactions."
0044,Friendship Level,"Measures the closeness of friendships, reflecting the quality of relationships within the social circle."
0045,Colleagues Relationship,"Measures the quality of relationships with colleagues, reflecting workplace social intimacy."
0046,Romantic Relationship,"Measures the stability and closeness of romantic relationships, reflecting the intensity of emotional connections."
0047,Social Skills,"Measures the user's ability to communicate and interact socially, reflecting the strength of social skills."
0048,Leadership Ability,"Measures the user's ability to lead others, reflecting potential for social leadership."
0049,Team Collaboration,"Measures the user's ability to collaborate in a team, reflecting teamwork efficiency."
004A,Conflict Resolution,"Measures the user's ability to resolve conflicts, reflecting social adaptability."
004B,Empathy Level,"Measures the user's ability to understand others' emotions, reflecting the depth of social empathy."
004C,Humor Sense,"Measures the user's sense of humor, reflecting the light-heartedness of social personality."
004D,Extroversion,"Measures the user's extroverted personality traits, reflecting the level of social activity preference."
004E,Openness,"Measures the user's openness to new experiences, reflecting the inclusiveness of social personality."
004F,Agreeableness,"Measures the user's friendliness and cooperativeness, reflecting the harmony of social personality."
0050,Neuroticism,"Measures the user's emotional stability, reflecting the degree of emotional fluctuation in social interactions."
0051,Conscientiousness,"Measures the user's sense of responsibility and organization, reflecting the level of social responsibility."
0052,Social Anxiety,"Measures the user's anxiety in social situations, reflecting the level of social psychological pressure."
0053,Public Expression,"Measures the user's tendency to express opinions publicly, reflecting social confidence."
0054,Social Participation,"Measures the frequency of the user's participation in social activities, reflecting social engagement."
0055,Volunteer Activity,"Measures the frequency of the user's participation in volunteer activities, reflecting social responsibility."
0056,Community Involvement,"Measures the frequency of the user's participation in community activities, reflecting social integration."
0057,Cultural Participation,"Measures the frequency of the user's participation in cultural activities, reflecting cultural interest and engagement."
0058,Political Involvement,"Measures the frequency of the user's participation in political activities, reflecting political interest and engagement."
0059,Religious Involvement,"Measures the frequency of the user's participation in religious activities, reflecting the practice of religious beliefs."
005A,Interest Group Participation,"Measures the frequency of the user's participation in interest groups, reflecting the level of interest engagement."
005B,Trust Level,"Measures the user's trust in others, reflecting the degree of social psychological trust."
005C,Social Support,"Measures the level of support the user receives from their social network, reflecting the richness of social resources."
005D,Social Isolation,"Measures the user's sense of social isolation, reflecting the degree of social psychological loneliness."
005E,Social Focus,"Measures the focus of the user's social interactions, reflecting the priority of social behavior."
005F,Social Motivation,"Measures the intensity of the user's motivation to engage in social activities, reflecting social psychological drive."
0060,Social Style,"Measures the user's social behavior style, reflecting active or passive social tendencies."
0061,Social Role,"Measures the user's role in social interactions, reflecting leadership, follower, or coordinator status."
